"Report Written:","Tuesday, August 13, 2019"
"Project Path:","C:\Giovanni\neuralmapper\PCB\NM-CAM9V022I2C\Rev1\NM-CAM9V022I2C.prj"
"Design Path:","C:\Giovanni\neuralmapper\PCB\NM-CAM9V022I2C\Rev1\NM-CAM9V022I2C.pcb"
"Design Title:",
"Created:","11/29/2018 11:36:19 AM"
"Last Saved:","8/13/2019 11:35:51 AM"
"Editing Time:","9054 min"
"Units:","mil (precision 0)"


"Ref Name","Qty","Component","Value","Side","Manufacturer","Manufacturer part number","Distributor","Distributor part number","Description","Price"
"FERR01","1","FERR","120","Bottom","TDK","MMZ1608B121C","Digikey","445-2164-1-ND","FERRITE CHIP 120 OHM 600MA 0603","0.10"
"L8","1","L1007_220uH","","Top","Taiyo Yuden","CBC2518T221M","Digikey","587-1617-1-ND","FIXED IND 220UH 110MA 10.92 OHM","0.23"
"LED1","1","LED_GREEN_0201","","Top","Kingbright","APG0603CGC-TT","Digikey","754-2021-1-ND","LED GREEN CLEAR 2SMD","0.53"
"LED2","1","LED_ORANGE_0201","","Top","Kingbright","APG0603SEC-TT","Digikey","754-2027-1-ND","LED ORANGE CLEAR 2SMD","0.45"
"IC1","1","LT3092ETS8TRMPBF","","Bottom","Linear Technology","LT3092ETS8#TRMPBF","Digikey","LT3092ETS8#TRMPBFCT-ND","IC CURRENT SOURCE 1% TSOT23-8","4.13"
"IC2","1","LT3092ETS8TRMPBF","","Bottom","Linear Technology","LT3092ETS8#TRMPBF","Digikey","LT3092ETS8#TRMPBFCT-ND","IC CURRENT SOURCE 1% TSOT23-8","4.13"
"IC3","1","LTC1663-1CS5#TRMPBF","","Top","Linear Technology","","Digikey","LTC1663-1CS5#TRMPBFCT-ND","IC DAC 10BIT R-R TSOT23-5","4.25"
"IC4","1","LTC1663-2CS5#TRMPBF","","Top","Linear Technology","","Digikey","LTC1663-2CS5#TRMPBFCT-ND","IC DAC 10BIT R-R TSOT23-5","4.25"
"IC6","1","LTC1663CS5#TRMPBF","","Top","Linear Technology","","Digikey","LTC1663CS5#TRMPBFCT-ND","IC DAC 10BIT R-R TSOT23-5","4.25"
"U1","1","MT9V022_52BGA","","Bottom","Aptina","MT9V022IA7ATM","Arrow","MT9V022IA7ATM","MT9V022 52BGA","19.07"
